Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
141,Friday Sep 7,boxscore,SEA,,NYY,L,0,4,,78-63,3,10.0,Tanaka,Paxton,,2:32,N,32195,-,
142,Saturday Sep 8,boxscore,SEA,,NYY,L,2,4,,78-64,3,11.0,Lynn,Vincent,Betances,2:49,N,38733,--,
143,Sunday Sep 9,boxscore,SEA,,NYY,W,3,2,,79-64,3,10.0,Colome,Betances,Diaz,3:05,D,34917,+,
144,Tuesday Sep 11,boxscore,SEA,,SDP,L,1,2,,79-65,3,11.5,Stammen,Diaz,Yates,2:49,N,13833,-,
145,Wednesday Sep 12,boxscore,SEA,,SDP,L,4,5,,79-66,3,12.5,Lucchesi,LeBlanc,Yates,3:07,D,17164,--,
146,Thursday Sep 13,boxscore,SEA,@,LAA,W,8,2,,80-66,3,12.0,Leake,Despaigne,,3:19,N,33328,+,
147,Friday Sep 14,boxscore,SEA,@,LAA,W,5,0,,81-66,3,11.0,Warren,Shoemaker,,3:22,N,39872,++,
148,Saturday Sep 15,boxscore,SEA,@,LAA,W,6,5,,82-66,3,11.0,Pazos,Alvarez,Diaz,3:06,N,42292,+++,
149,Sunday Sep 16,boxscore,SEA,@,LAA,L,3,4,,82-67,3,12.0,Cole,Vincent,Buttrey,2:55,D,35578,-,
150,Monday Sep 17,boxscore,SEA,@,HOU,W,4,1,,83-67,3,11.0,Cook,Rondon,Diaz,3:02,N,43144,+,
151,Tuesday Sep 18,boxscore,SEA,@,HOU,L,0,7,,83-68,3,12.0,James,Leake,,2:55,N,35715,-,
152,Wednesday Sep 19,boxscore,SEA,@,HOU,W,9,0,,84-68,3,11.0,Lawrence,Keuchel,,2:47,N,31229,+,
153,Friday Sep 21,boxscore,SEA,@,TEX,L,3,8,7,84-69,3,12.0,Jurado,Ramirez,,2:17,N,29420,-,
154,Saturday Sep 22,boxscore,SEA,@,TEX,W,13,0,,85-69,3,12.0,Gonzales,Minor,,3:07,N,31158,+,
155,Sunday Sep 23,boxscore,SEA,@,TEX,L,1,6,,85-70,3,13.0,Springs,LeBlanc,,2:56,D,31269,-,
156,Monday Sep 24,boxscore,SEA,,OAK,L,3,7,,85-71,3,14.0,Buchter,Armstrong,,3:03,N,16491,--,
157,Tuesday Sep 25,boxscore,SEA,,OAK,W-wo,10,8,11,86-71,3,14.0,Colome,Pagan,,3:57,N,12791,+,
158,Wednesday Sep 26,boxscore,SEA,,OAK,L,3,9,,86-72,3,14.0,Buchter,Hernandez,,3:13,N,13727,-,
159,Thursday Sep 27,boxscore,SEA,,TEX,L,0,2,,86-73,3,14.5,Jurado,Duke,Leclerc,2:36,N,15799,--,
160,Friday Sep 28,boxscore,SEA,,TEX,W,12,6,,87-73,3,14.5,LeBlanc,Perez,,3:47,N,23598,+,
161,Saturday Sep 29,boxscore,SEA,,TEX,W,4,1,,88-73,3,15.0,Vincent,Sampson,Diaz,2:37,N,31780,++,
162,Sunday Sep 30,boxscore,SEA,,TEX,W,3,1,,89-73,3,14.0,Elias,Gallardo,Armstrong,2:14,D,21146,+++,
